Name,Code,Org_Latitude,Org_Longitude,Org_Altitude,Correct_Latitude,Correct_Longitude,Correct_Altitude,Latitude,Longitude,Altitude,AntennaHeight,Northing,Easting,Height,State,Satellite_Lock,Satellite_View,PDOP,HRMS,VRMS,Age,Date,Time,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Base_Distance,CompensationMode,InclineAngle,AzimuthAngle,Correct_n,Correct_e,Correct_h
1,,045d28m42.5638800000s,009d13m32.7934920000s,162.180,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5638800000s,009d13m32.7934920000s,160.164,2.016,5036131.595,517645.869,160.164,FIXED,26,38,1.040,0.015,0.017,1.0,2023-11-13,12:30:31,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.845,0,0.00000000,270.00000000,0.000,0.000,0.000
2,,045d28m42.5639700000s,009d13m32.7934380000s,162.187,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5639700000s,009d13m32.7934380000s,160.171,2.016,5036131.598,517645.868,160.171,FIXED,26,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:32,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.845,0,0.00000000,270.00000000,0.000,0.000,0.000
3,,045d28m42.5640360000s,009d13m32.7939840000s,162.184,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5640360000s,009d13m32.7939840000s,160.168,2.016,5036131.600,517645.879,160.168,FIXED,26,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:33,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.834,0,0.00000000,270.00000000,0.000,0.000,0.000
4,,045d28m42.5634420000s,009d13m32.7934860000s,162.182,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5634420000s,009d13m32.7934860000s,160.166,2.016,5036131.582,517645.869,160.166,FIXED,26,39,1.040,0.014,0.017,0.0,2023-11-13,12:30:34,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.844,0,0.00000000,270.00000000,0.000,0.000,0.000
5,,045d28m42.5620380000s,009d13m32.7942000000s,162.187,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5620380000s,009d13m32.7942000000s,160.171,2.016,5036131.539,517645.884,160.171,FIXED,26,39,1.040,0.014,0.017,0.0,2023-11-13,12:30:35,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.826,0,0.00000000,270.00000000,0.000,0.000,0.000
6,,045d28m42.5616540000s,009d13m32.7953100000s,162.217,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5616540000s,009d13m32.7953100000s,160.201,2.016,5036131.527,517645.908,160.201,FIXED,26,39,1.040,0.014,0.017,0.0,2023-11-13,12:30:36,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.798,0,0.00000000,270.00000000,0.000,0.000,0.000
7,,045d28m42.5663520000s,009d13m32.8022820000s,162.228,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5663520000s,009d13m32.8022820000s,160.212,2.016,5036131.672,517646.059,160.212,FIXED,26,39,1.040,0.014,0.017,0.0,2023-11-13,12:30:37,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.654,0,0.00000000,270.00000000,0.000,0.000,0.000
8,,045d28m42.5725440000s,009d13m32.8104600000s,162.230,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5725440000s,009d13m32.8104600000s,160.214,2.016,5036131.864,517646.236,160.214,FIXED,26,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:38,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.487,0,0.00000000,270.00000000,0.000,0.000,0.000
9,,045d28m42.5766540000s,009d13m32.8235160000s,162.223,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5766540000s,009d13m32.8235160000s,160.207,2.016,5036131.991,517646.519,160.207,FIXED,26,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:39,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.213,0,0.00000000,270.00000000,0.000,0.000,0.000
10,,045d28m42.5842920000s,009d13m32.8360260000s,162.236,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5842920000s,009d13m32.8360260000s,160.220,2.016,5036132.228,517646.790,160.220,FIXED,26,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:40,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.954,0,0.00000000,270.00000000,0.000,0.000,0.000
11,,045d28m42.5909580000s,009d13m32.8510200000s,162.227,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5909580000s,009d13m32.8510200000s,160.211,2.016,5036132.434,517647.115,160.211,FIXED,26,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:41,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.643,0,0.00000000,270.00000000,0.000,0.000,0.000
12,,045d28m42.5969160000s,009d13m32.8648200000s,162.262,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.5969160000s,009d13m32.8648200000s,160.246,2.016,5036132.619,517647.414,160.246,FIXED,26,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:42,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.352,0,0.00000000,270.00000000,0.000,0.000,0.000
13,,045d28m42.6049860000s,009d13m32.8769700000s,162.257,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6049860000s,009d13m32.8769700000s,160.241,2.016,5036132.869,517647.677,160.241,FIXED,25,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:43,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,269.104,0,0.00000000,270.00000000,0.000,0.000,0.000
14,,045d28m42.6096180000s,009d13m32.8922940000s,162.244,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6096180000s,009d13m32.8922940000s,160.228,2.016,5036133.013,517648.010,160.228,FIXED,25,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:44,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,268.783,0,0.00000000,270.00000000,0.000,0.000,0.000
15,,045d28m42.6158820000s,009d13m32.9055240000s,162.256,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6158820000s,009d13m32.9055240000s,160.240,2.016,5036133.207,517648.296,160.240,FIXED,26,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:45,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,268.508,0,0.00000000,270.00000000,0.000,0.000,0.000
16,,045d28m42.6231360000s,009d13m32.9195460000s,162.255,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6231360000s,009d13m32.9195460000s,160.239,2.016,5036133.432,517648.600,160.239,FIXED,25,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:46,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,268.218,0,0.00000000,270.00000000,0.000,0.000,0.000
17,,045d28m42.6302400000s,009d13m32.9347560000s,162.257,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6302400000s,009d13m32.9347560000s,160.241,2.016,5036133.652,517648.930,160.241,FIXED,26,38,1.040,0.014,0.017,0.0,2023-11-13,12:30:47,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,267.903,0,0.00000000,270.00000000,0.000,0.000,0.000
18,,045d28m42.6373440000s,009d13m32.9482140000s,162.268,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6373440000s,009d13m32.9482140000s,160.252,2.016,5036133.872,517649.221,160.252,FIXED,25,39,1.040,0.014,0.017,0.0,2023-11-13,12:30:48,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,267.625,0,0.00000000,270.00000000,0.000,0.000,0.000
19,,045d28m42.6435960000s,009d13m32.9651160000s,162.261,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6435960000s,009d13m32.9651160000s,160.245,2.016,5036134.066,517649.588,160.245,FIXED,24,39,0.970,0.014,0.017,0.0,2023-11-13,12:30:49,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,267.273,0,0.00000000,270.00000000,0.000,0.000,0.000
20,,045d28m42.6510360000s,009d13m32.9810460000s,162.254,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6510360000s,009d13m32.9810460000s,160.238,2.016,5036134.296,517649.933,160.238,FIXED,24,40,0.970,0.014,0.017,0.0,2023-11-13,12:30:50,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,266.945,0,0.00000000,270.00000000,0.000,0.000,0.000
21,,045d28m42.6579360000s,009d13m32.9958480000s,162.258,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6579360000s,009d13m32.9958480000s,160.242,2.016,5036134.510,517650.254,160.242,FIXED,25,40,1.040,0.014,0.017,0.0,2023-11-13,12:30:51,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,266.638,0,0.00000000,270.00000000,0.000,0.000,0.000
22,,045d28m42.6656580000s,009d13m33.0125460000s,162.253,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6656580000s,009d13m33.0125460000s,160.237,2.016,5036134.750,517650.616,160.237,FIXED,26,40,1.040,0.014,0.017,0.0,2023-11-13,12:30:52,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,266.294,0,0.00000000,270.00000000,0.000,0.000,0.000
23,,045d28m42.6751320000s,009d13m33.0284700000s,162.267,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6751320000s,009d13m33.0284700000s,160.251,2.016,5036135.043,517650.960,160.251,FIXED,26,40,1.040,0.014,0.017,0.0,2023-11-13,12:30:53,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,265.968,0,0.00000000,270.00000000,0.000,0.000,0.000
24,,045d28m42.6811320000s,009d13m33.0460680000s,162.270,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6811320000s,009d13m33.0460680000s,160.254,2.016,5036135.229,517651.342,160.254,FIXED,26,40,1.100,0.014,0.017,0.0,2023-11-13,12:30:54,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,265.601,0,0.00000000,270.00000000,0.000,0.000,0.000
25,,045d28m42.6883440000s,009d13m33.0623040000s,162.273,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6883440000s,009d13m33.0623040000s,160.257,2.016,5036135.453,517651.694,160.257,FIXED,26,40,1.100,0.014,0.017,0.0,2023-11-13,12:30:55,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,265.266,0,0.00000000,270.00000000,0.000,0.000,0.000
26,,045d28m42.6942840000s,009d13m33.0759240000s,162.292,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.6942840000s,009d13m33.0759240000s,160.276,2.016,5036135.637,517651.989,160.276,FIXED,26,40,1.100,0.014,0.017,0.0,2023-11-13,12:30:56,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,264.982,0,0.00000000,270.00000000,0.000,0.000,0.000
27,,045d28m42.7008600000s,009d13m33.0923220000s,162.295,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7008600000s,009d13m33.0923220000s,160.279,2.016,5036135.841,517652.344,160.279,FIXED,24,40,1.100,0.014,0.017,0.0,2023-11-13,12:30:57,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,264.642,0,0.00000000,270.00000000,0.000,0.000,0.000
28,,045d28m42.7083480000s,009d13m33.1066800000s,162.283,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7083480000s,009d13m33.1066800000s,160.267,2.016,5036136.073,517652.656,160.267,FIXED,25,40,1.100,0.014,0.017,0.0,2023-11-13,12:30:58,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,264.350,0,0.00000000,270.00000000,0.000,0.000,0.000
29,,045d28m42.7146900000s,009d13m33.1241760000s,162.286,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7146900000s,009d13m33.1241760000s,160.270,2.016,5036136.270,517653.035,160.270,FIXED,25,39,1.100,0.014,0.017,0.0,2023-11-13,12:30:59,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,263.987,0,0.00000000,270.00000000,0.000,0.000,0.000
30,,045d28m42.7223100000s,009d13m33.1411020000s,162.299,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7223100000s,009d13m33.1411020000s,160.283,2.016,5036136.506,517653.402,160.283,FIXED,26,39,1.100,0.014,0.017,0.0,2023-11-13,12:31:00,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,263.638,0,0.00000000,270.00000000,0.000,0.000,0.000
31,,045d28m42.7272480000s,009d13m33.1573920000s,162.297,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7272480000s,009d13m33.1573920000s,160.281,2.016,5036136.659,517653.755,160.281,FIXED,24,39,1.100,0.014,0.017,0.0,2023-11-13,12:31:01,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,263.298,0,0.00000000,270.00000000,0.000,0.000,0.000
32,,045d28m42.7337700000s,009d13m33.1715940000s,162.305,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7337700000s,009d13m33.1715940000s,160.289,2.016,5036136.861,517654.063,160.289,FIXED,25,39,1.100,0.014,0.017,0.0,2023-11-13,12:31:02,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,263.006,0,0.00000000,270.00000000,0.000,0.000,0.000
33,,045d28m42.7393800000s,009d13m33.1836840000s,162.302,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7393800000s,009d13m33.1836840000s,160.286,2.016,5036137.035,517654.325,160.286,FIXED,24,40,1.090,0.014,0.017,0.0,2023-11-13,12:31:03,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,262.758,0,0.00000000,270.00000000,0.000,0.000,0.000
34,,045d28m42.7456320000s,009d13m33.2000760000s,162.313,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7456320000s,009d13m33.2000760000s,160.297,2.016,5036137.229,517654.680,160.297,FIXED,26,39,1.090,0.014,0.017,0.0,2023-11-13,12:31:04,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,262.418,0,0.00000000,270.00000000,0.000,0.000,0.000
35,,045d28m42.7535760000s,009d13m33.2174820000s,162.292,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7535760000s,009d13m33.2174820000s,160.276,2.016,5036137.475,517655.057,160.276,FIXED,25,40,1.090,0.014,0.017,0.0,2023-11-13,12:31:05,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,262.065,0,0.00000000,270.00000000,0.000,0.000,0.000
36,,045d28m42.7614420000s,009d13m33.2362320000s,162.276,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7614420000s,009d13m33.2362320000s,160.260,2.016,5036137.719,517655.464,160.260,FIXED,26,39,1.090,0.014,0.017,0.0,2023-11-13,12:31:06,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,261.681,0,0.00000000,270.00000000,0.000,0.000,0.000
37,,045d28m42.7688460000s,009d13m33.2525040000s,162.274,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7688460000s,009d13m33.2525040000s,160.258,2.016,5036137.949,517655.816,160.258,FIXED,26,39,1.090,0.014,0.017,0.0,2023-11-13,12:31:07,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,261.349,0,0.00000000,270.00000000,0.000,0.000,0.000
38,,045d28m42.7755600000s,009d13m33.2688180000s,162.285,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7755600000s,009d13m33.2688180000s,160.269,2.016,5036138.157,517656.170,160.269,FIXED,26,39,1.090,0.014,0.017,0.0,2023-11-13,12:31:08,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,261.012,0,0.00000000,270.00000000,0.000,0.000,0.000
39,,045d28m42.7835100000s,009d13m33.2880420000s,162.282,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7835100000s,009d13m33.2880420000s,160.266,2.016,5036138.403,517656.586,160.266,FIXED,24,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:09,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,260.618,0,0.00000000,270.00000000,0.000,0.000,0.000
40,,045d28m42.7923540000s,009d13m33.3039960000s,162.300,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.7923540000s,009d13m33.3039960000s,160.284,2.016,5036138.677,517656.932,160.284,FIXED,25,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:10,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,260.295,0,0.00000000,270.00000000,0.000,0.000,0.000
41,,045d28m42.8001540000s,009d13m33.3246120000s,162.293,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8001540000s,009d13m33.3246120000s,160.277,2.016,5036138.919,517657.379,160.277,FIXED,26,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:11,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,259.871,0,0.00000000,270.00000000,0.000,0.000,0.000
42,,045d28m42.8073180000s,009d13m33.3465840000s,162.296,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8073180000s,009d13m33.3465840000s,160.280,2.016,5036139.142,517657.855,160.280,FIXED,25,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:12,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,259.417,0,0.00000000,270.00000000,0.000,0.000,0.000
43,,045d28m42.8154180000s,009d13m33.3643380000s,162.297,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8154180000s,009d13m33.3643380000s,160.281,2.016,5036139.393,517658.240,160.281,FIXED,25,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:13,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,259.055,0,0.00000000,270.00000000,0.000,0.000,0.000
44,,045d28m42.8229660000s,009d13m33.3851880000s,162.288,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8229660000s,009d13m33.3851880000s,160.272,2.016,5036139.627,517658.692,160.272,FIXED,25,40,1.210,0.014,0.017,0.0,2023-11-13,12:31:14,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,258.628,0,0.00000000,270.00000000,0.000,0.000,0.000
45,,045d28m42.8314080000s,009d13m33.4055760000s,162.299,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8314080000s,009d13m33.4055760000s,160.283,2.016,5036139.889,517659.134,160.283,FIXED,25,40,1.210,0.014,0.017,0.0,2023-11-13,12:31:15,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,258.210,0,0.00000000,270.00000000,0.000,0.000,0.000
46,,045d28m42.8395380000s,009d13m33.4264980000s,162.299,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8395380000s,009d13m33.4264980000s,160.283,2.016,5036140.141,517659.587,160.283,FIXED,26,40,1.210,0.014,0.017,0.0,2023-11-13,12:31:16,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,257.782,0,0.00000000,270.00000000,0.000,0.000,0.000
47,,045d28m42.8465220000s,009d13m33.4499400000s,162.273,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8465220000s,009d13m33.4499400000s,160.257,2.016,5036140.358,517660.096,160.257,FIXED,26,40,1.210,0.014,0.017,0.0,2023-11-13,12:31:17,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,257.300,0,0.00000000,270.00000000,0.000,0.000,0.000
48,,045d28m42.8547060000s,009d13m33.4698060000s,162.310,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8547060000s,009d13m33.4698060000s,160.294,2.016,5036140.612,517660.526,160.294,FIXED,26,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:18,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,256.891,0,0.00000000,270.00000000,0.000,0.000,0.000
49,,045d28m42.8628960000s,009d13m33.4924320000s,162.300,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8628960000s,009d13m33.4924320000s,160.284,2.016,5036140.866,517661.017,160.284,FIXED,25,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:19,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,256.428,0,0.00000000,270.00000000,0.000,0.000,0.000
50,,045d28m42.8709480000s,009d13m33.5164680000s,162.296,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8709480000s,009d13m33.5164680000s,160.280,2.016,5036141.116,517661.538,160.280,FIXED,26,40,1.060,0.014,0.017,0.0,2023-11-13,12:31:20,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,255.935,0,0.00000000,270.00000000,0.000,0.000,0.000
51,,045d28m42.8795580000s,009d13m33.5383980000s,162.302,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8795580000s,009d13m33.5383980000s,160.286,2.016,5036141.383,517662.013,160.286,FIXED,26,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:21,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,255.487,0,0.00000000,270.00000000,0.000,0.000,0.000
52,,045d28m42.8893380000s,009d13m33.5622180000s,162.306,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8893380000s,009d13m33.5622180000s,160.290,2.016,5036141.686,517662.530,160.290,FIXED,27,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:22,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,255.003,0,0.00000000,270.00000000,0.000,0.000,0.000
53,,045d28m42.8982540000s,009d13m33.5862060000s,162.330,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.8982540000s,009d13m33.5862060000s,160.314,2.016,5036141.963,517663.050,160.314,FIXED,27,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:23,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,254.511,0,0.00000000,270.00000000,0.000,0.000,0.000
54,,045d28m42.9099360000s,009d13m33.6134640000s,162.306,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9099360000s,009d13m33.6134640000s,160.290,2.016,5036142.325,517663.640,160.290,FIXED,28,39,1.130,0.014,0.017,0.0,2023-11-13,12:31:24,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,253.962,0,0.00000000,270.00000000,0.000,0.000,0.000
55,,045d28m42.9199200000s,009d13m33.6394920000s,162.297,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9199200000s,009d13m33.6394920000s,160.281,2.016,5036142.634,517664.205,160.281,FIXED,28,39,1.130,0.014,0.017,0.0,2023-11-13,12:31:25,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,253.435,0,0.00000000,270.00000000,0.000,0.000,0.000
56,,045d28m42.9287520000s,009d13m33.6681360000s,162.306,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9287520000s,009d13m33.6681360000s,160.290,2.016,5036142.909,517664.826,160.290,FIXED,28,39,1.130,0.014,0.017,0.0,2023-11-13,12:31:26,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,252.846,0,0.00000000,270.00000000,0.000,0.000,0.000
57,,045d28m42.9379500000s,009d13m33.6947280000s,162.315,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9379500000s,009d13m33.6947280000s,160.299,2.016,5036143.194,517665.402,160.299,FIXED,27,39,1.130,0.014,0.017,0.0,2023-11-13,12:31:27,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,252.302,0,0.00000000,270.00000000,0.000,0.000,0.000
58,,045d28m42.9468720000s,009d13m33.7221000000s,162.303,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9468720000s,009d13m33.7221000000s,160.287,2.016,5036143.471,517665.996,160.287,FIXED,28,39,1.050,0.014,0.017,0.0,2023-11-13,12:31:28,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,251.744,0,0.00000000,270.00000000,0.000,0.000,0.000
59,,045d28m42.9557160000s,009d13m33.7485660000s,162.301,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9557160000s,009d13m33.7485660000s,160.285,2.016,5036143.746,517666.569,160.285,FIXED,28,40,1.130,0.014,0.017,0.0,2023-11-13,12:31:29,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,251.204,0,0.00000000,270.00000000,0.000,0.000,0.000
60,,045d28m42.9627900000s,009d13m33.7714020000s,162.320,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9627900000s,009d13m33.7714020000s,160.304,2.016,5036143.965,517667.065,160.304,FIXED,27,40,1.060,0.014,0.017,0.0,2023-11-13,12:31:30,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,250.735,0,0.00000000,270.00000000,0.000,0.000,0.000
61,,045d28m42.9703620000s,009d13m33.7948260000s,162.341,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9703620000s,009d13m33.7948260000s,160.325,2.016,5036144.201,517667.573,160.325,FIXED,27,39,1.130,0.014,0.017,0.0,2023-11-13,12:31:31,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,250.254,0,0.00000000,270.00000000,0.000,0.000,0.000
62,,045d28m42.9760080000s,009d13m33.8167500000s,162.351,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9760080000s,009d13m33.8167500000s,160.335,2.016,5036144.376,517668.048,160.335,FIXED,27,39,1.050,0.014,0.017,0.0,2023-11-13,12:31:32,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,249.801,0,0.00000000,270.00000000,0.000,0.000,0.000
63,,045d28m42.9817740000s,009d13m33.8372220000s,162.357,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9817740000s,009d13m33.8372220000s,160.341,2.016,5036144.555,517668.492,160.341,FIXED,26,39,1.150,0.014,0.017,0.0,2023-11-13,12:31:33,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,249.381,0,0.00000000,270.00000000,0.000,0.000,0.000
64,,045d28m42.9858780000s,009d13m33.8585160000s,162.371,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9858780000s,009d13m33.8585160000s,160.355,2.016,5036144.683,517668.954,160.355,FIXED,26,39,1.170,0.014,0.017,0.0,2023-11-13,12:31:34,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,248.936,0,0.00000000,270.00000000,0.000,0.000,0.000
65,,045d28m42.9920820000s,009d13m33.8772780000s,162.380,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9920820000s,009d13m33.8772780000s,160.364,2.016,5036144.876,517669.361,160.364,FIXED,26,39,1.170,0.014,0.016,0.0,2023-11-13,12:31:35,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,248.553,0,0.00000000,270.00000000,0.000,0.000,0.000
66,,045d28m42.9990360000s,009d13m33.8973000000s,162.372,0.0000000000000000,0.0000000000000000,0.000000,045d28m42.9990360000s,009d13m33.8973000000s,160.356,2.016,5036145.092,517669.795,160.356,FIXED,26,39,1.170,0.014,0.016,0.0,2023-11-13,12:31:36,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,248.149,0,0.00000000,270.00000000,0.000,0.000,0.000
